25,"SELECT U.up_id, S.*  FROM #upLoad U CROSS APPLY (SELECT Objid FROM   dbo.fGetNearbyObjEq( U.up_ra ,U.up_dec ,U.up_sep )) S  SELECT TOP #   p.ra,p.dec, p.run,p.rerun,p.camCol,p.field,p.obj,p.psfMag_u,p.psfMag_g,p.psfMag_r,p.psfMag_i,p.psfMag_z,p.psfMagErr_u,p.psfMagErr_g,p.psfMagErr_r,p.psfMagErr_i,p.psfMagErr_z,dbo.fIAUFromEq(p.ra,p.[dec]) as SDSSname,ISNULL(s.fiberID,#) as fiberID,ISNULL(s.mjd,#) as mjd,ISNULL(s.plate,#) as plate  FROM ..PhotoObj AS p  LEFT OUTER JOIN ..SpecObj s ON p.objID = s.bestObjID  JOIN #x AS x ON x.objID=p.objID  JOIN #upload AS u ON u.up_id = x.up_id   WHERE  ( p.type = # OR p.type = #)   ORDER BY x.up_id"
2019-01-11 14:02:00,2
2019-01-11 14:10:00,1
2019-01-11 14:15:00,1
2019-01-11 14:19:00,2
2019-01-11 14:37:00,1
2019-01-11 14:39:00,2
2019-01-11 14:50:00,2
2019-01-11 14:53:00,1
2019-01-11 14:56:00,1
2019-01-11 15:00:00,1
2019-01-11 15:02:00,1
2019-01-11 15:08:00,1
2019-01-11 15:14:00,1
2019-01-11 15:22:00,1
2019-01-11 15:28:00,1
2019-01-11 15:33:00,1
2019-01-11 15:34:00,1
2019-01-11 15:38:00,1
2019-01-11 15:41:00,1
2019-01-11 15:43:00,1
2019-01-11 15:47:00,1
