10,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID AND p.u between # AND # AND p.g between # AND # AND p.i between # AND # AND p.r between # AND # AND p.z between # AND #"
2019-01-11 04:00:00,1
2019-01-11 13:05:00,1
2019-01-11 13:09:00,1
2019-01-11 13:17:00,1
2019-01-11 13:51:00,1
2019-01-11 13:55:00,1
2019-01-11 14:32:00,1
2019-01-11 15:06:00,1
2019-01-11 15:07:00,1
2019-01-11 16:27:00,1
