23,"SELECT up_id, dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) as SpecobjId   FROM #upload WHERE dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&,&&&, @log=#, @filter=#"
2019-06-24 12:15:00,1
2019-06-24 12:17:00,1
2019-06-24 12:32:00,1
2019-06-24 12:40:00,1
2019-06-24 12:41:00,3
2019-06-24 12:42:00,2
2019-06-24 12:43:00,2
2019-06-24 12:45:00,1
2019-06-24 12:47:00,1
2019-06-24 13:04:00,1
2019-06-24 13:10:00,2
2019-06-24 14:39:00,1
2019-06-24 14:48:00,2
2019-06-24 14:54:00,1
2019-06-24 15:00:00,3
