30,"SELECT DISTINCT p.ra, p.dec, p.type, p.mode, p.modelMag_i FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-24 21:21:00,1
2019-06-24 21:25:00,3
2019-06-24 21:26:00,3
2019-06-24 21:30:00,1
2019-06-24 21:31:00,1
2019-06-24 22:26:00,5
2019-06-24 22:28:00,5
2019-06-24 22:29:00,9
2019-06-24 22:30:00,2
