5,"select top # p.objid as name, p.ra, p.dec from star p, specobj s where p.objid=s.bestobjid and (p.r BETWEEN # AND #) and (p.g-p.r BETWEEN # AND #)"
2019-06-24 18:52:00,2
2019-06-24 18:53:00,1
2019-06-24 18:57:00,1
2019-06-24 18:58:00,1
