90,"SELECT p.objid, p.ra, p.dec, f.fieldid, p.field, p.InsideMask, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, p.type, f.quality, p.specObjID FROM PhotoPrimary AS p JOIN Field AS f ON f.fieldid = p.fieldid WHERE (clean = #) AND ((f.quality = #) OR (f.quality = #)) AND (p.type = dbo.fPhotoType(&&&) OR p.type = dbo.fPhotoType(&&&)) AND (p.ra BETWEEN # AND #) AND p.dec BETWEEN # AND # AND ((p.InsideMask = #) OR (p.InsideMask = #) OR (p.InsideMask = #)) AND (#/p.err_u > #) AND (#/p.err_g > #) AND (#/p.err_r > #) AND (#/p.err_i > #) AND (#/p.err_z > #)"
2019-06-24 09:42:00,15
2019-06-24 09:43:00,1
2019-06-24 17:35:00,1
2019-06-24 17:36:00,5
2019-06-24 17:47:00,2
2019-06-24 17:48:00,4
2019-06-24 18:09:00,1
2019-06-24 18:10:00,3
2019-06-24 18:11:00,2
2019-06-24 18:13:00,2
2019-06-24 18:14:00,6
2019-06-24 18:15:00,6
2019-06-24 18:18:00,3
2019-06-24 18:19:00,3
2019-06-24 18:22:00,2
2019-06-24 18:23:00,3
2019-06-24 18:24:00,8
2019-06-24 18:25:00,5
2019-06-24 18:38:00,3
2019-06-24 18:39:00,3
2019-06-24 18:42:00,8
2019-06-24 18:43:00,4
