16,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#, #, #) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(# -q.z))<#"
2019-06-24 01:03:00,1
2019-06-24 01:16:00,1
2019-06-24 01:18:00,1
2019-06-24 01:21:00,1
2019-06-24 01:32:00,1
2019-06-24 01:35:00,1
2019-06-24 01:38:00,1
2019-06-24 01:40:00,1
2019-06-24 01:42:00,1
2019-06-24 01:45:00,1
2019-06-24 01:50:00,1
2019-06-24 01:51:00,1
2019-06-24 01:57:00,1
2019-06-24 01:59:00,1
2019-06-24 02:11:00,1
2019-06-24 02:12:00,1
