25,"select O.ra, O.dec, O.psfMag_u, O.psfMagErr_u, O.psfMag_g,  O.psfMagErr_g, O.psfMag_r, O.psfMagErr_r, O.psfMag_i,  O.psfMagErr_i, O.psfMag_z, O.psfMagErr_z, O.probPSF  from  dbo.fGetNearbyObjEq(#,#,#)  as N inner join PhotoObjAll as O on O.objID = N.objID order by N.distance"
2019-06-24 16:10:00,1
2019-06-24 16:22:00,1
2019-06-24 16:24:00,1
2019-06-24 17:52:00,3
2019-06-24 17:57:00,1
2019-06-24 18:08:00,1
2019-06-24 18:17:00,1
2019-06-24 18:18:00,2
2019-06-24 18:19:00,1
2019-06-24 18:21:00,1
2019-06-24 18:23:00,1
2019-06-24 18:31:00,1
2019-06-24 18:32:00,1
2019-06-24 18:33:00,1
2019-06-24 18:34:00,1
2019-06-24 18:41:00,2
2019-06-24 18:42:00,2
2019-06-24 18:46:00,1
2019-06-24 19:01:00,1
2019-06-24 20:40:00,1
