18,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-08 05:53:00,1
2019-10-08 06:01:00,1
2019-10-08 06:03:00,1
2019-10-08 06:06:00,1
2019-10-08 06:09:00,2
2019-10-08 06:10:00,1
2019-10-08 06:12:00,1
2019-10-08 06:19:00,1
2019-10-08 07:36:00,1
2019-10-08 08:03:00,1
2019-10-08 08:04:00,2
2019-10-08 08:07:00,1
2019-10-08 15:38:00,1
2019-10-08 15:39:00,1
2019-10-08 16:32:00,1
2019-10-08 21:15:00,1
