21,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroMagErr_u, p.petroMagErr_g, p.petroMagErr_r, p.petroMagErr_i, p.petroMagErr_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-08 06:45:00,1
2019-10-08 14:51:00,3
2019-10-08 14:52:00,1
2019-10-08 15:00:00,1
2019-10-08 15:08:00,1
2019-10-08 15:20:00,3
2019-10-08 15:30:00,1
2019-10-08 15:31:00,4
2019-10-08 15:33:00,4
2019-10-08 16:05:00,1
2019-10-08 17:21:00,1
