210,"SELECT g.objID, g.ra, g.dec, q.z, q.zErr, q.class, q.subclass FROM GALAXY as g, SpecObjAll as q WHERE g.objID = q.bestObjID and (g.ra between # and #) and (g.dec between # and #)"
2019-10-08 01:01:00,1
2019-10-08 01:05:00,1
2019-10-08 01:06:00,1
2019-10-08 01:12:00,1
2019-10-08 03:42:00,1
2019-10-08 04:02:00,1
2019-10-08 04:05:00,1
2019-10-08 04:06:00,5
2019-10-08 04:07:00,2
2019-10-08 04:15:00,2
2019-10-08 04:16:00,6
2019-10-08 04:18:00,1
2019-10-08 04:24:00,3
2019-10-08 04:34:00,1
2019-10-08 04:35:00,6
2019-10-08 04:36:00,6
2019-10-08 04:41:00,5
2019-10-08 04:42:00,2
2019-10-08 04:46:00,1
2019-10-08 04:54:00,7
2019-10-08 04:55:00,6
2019-10-08 04:56:00,2
2019-10-08 05:04:00,5
2019-10-08 05:11:00,4
2019-10-08 05:19:00,3
2019-10-08 05:33:00,1
2019-10-08 05:37:00,4
2019-10-08 05:38:00,6
2019-10-08 05:39:00,6
2019-10-08 05:46:00,3
2019-10-08 06:00:00,4
2019-10-08 07:53:00,1
2019-10-08 08:38:00,1
2019-10-08 08:51:00,1
2019-10-08 08:56:00,1
2019-10-08 08:57:00,1
2019-10-08 09:04:00,1
2019-10-08 09:05:00,1
2019-10-08 09:06:00,1
2019-10-08 09:13:00,1
2019-10-08 09:48:00,1
2019-10-08 10:23:00,1
2019-10-08 10:24:00,2
2019-10-08 10:25:00,3
2019-10-08 10:26:00,3
2019-10-08 10:27:00,4
2019-10-08 10:29:00,4
2019-10-08 10:30:00,3
2019-10-08 10:31:00,1
2019-10-08 10:32:00,1
2019-10-08 10:37:00,3
2019-10-08 10:48:00,1
2019-10-08 12:38:00,1
2019-10-08 14:01:00,2
2019-10-08 14:02:00,2
2019-10-08 14:03:00,1
2019-10-08 14:04:00,3
2019-10-08 14:05:00,5
2019-10-08 14:06:00,3
2019-10-08 14:07:00,2
2019-10-08 14:08:00,3
2019-10-08 14:09:00,4
2019-10-08 14:10:00,9
2019-10-08 14:11:00,7
2019-10-08 14:12:00,2
2019-10-08 14:13:00,1
2019-10-08 14:14:00,1
2019-10-08 14:15:00,3
2019-10-08 14:16:00,5
2019-10-08 14:17:00,2
2019-10-08 15:18:00,1
2019-10-08 15:21:00,2
2019-10-08 15:29:00,1
2019-10-08 15:36:00,1
2019-10-08 15:51:00,3
2019-10-08 16:06:00,1
2019-10-08 16:14:00,1
2019-10-08 18:09:00,1
2019-10-08 18:41:00,1
2019-10-08 18:54:00,1
2019-10-08 19:53:00,1
2019-10-08 21:28:00,1
2019-10-08 21:31:00,1
2019-10-08 23:17:00,1
2019-10-08 23:38:00,1
2019-10-08 23:39:00,1
2019-10-08 23:41:00,1
