139,"select px,py     from Celltag3 c     where c.sampleid=#       and c.ptype=#       and c.pd1=#       and c.tdist<#"
2019-10-08 11:42:00,1
2019-10-08 11:43:00,1
2019-10-08 11:55:00,2
2019-10-08 11:56:00,2
2019-10-08 11:57:00,4
2019-10-08 11:58:00,3
2019-10-08 11:59:00,3
2019-10-08 12:00:00,5
2019-10-08 12:01:00,4
2019-10-08 12:02:00,4
2019-10-08 12:03:00,1
2019-10-08 12:04:00,1
2019-10-08 12:05:00,4
2019-10-08 12:06:00,1
2019-10-08 12:12:00,2
2019-10-08 12:20:00,4
2019-10-08 12:21:00,1
2019-10-08 12:22:00,3
2019-10-08 12:23:00,2
2019-10-08 12:24:00,5
2019-10-08 12:25:00,1
2019-10-08 12:26:00,3
2019-10-08 12:27:00,4
2019-10-08 12:28:00,5
2019-10-08 12:29:00,5
2019-10-08 12:30:00,2
2019-10-08 12:31:00,3
2019-10-08 12:32:00,4
2019-10-08 12:33:00,4
2019-10-08 12:34:00,1
2019-10-08 12:35:00,6
2019-10-08 12:36:00,3
2019-10-08 12:37:00,4
2019-10-08 12:38:00,4
2019-10-08 12:39:00,3
2019-10-08 12:40:00,3
2019-10-08 12:41:00,3
2019-10-08 12:42:00,6
2019-10-08 12:43:00,1
2019-10-08 12:45:00,1
2019-10-08 12:46:00,1
2019-10-08 12:55:00,1
2019-10-08 13:58:00,1
2019-10-08 13:59:00,1
2019-10-08 14:00:00,1
2019-10-08 14:01:00,1
2019-10-08 14:02:00,1
2019-10-08 14:03:00,1
2019-10-08 14:05:00,1
2019-10-08 14:15:00,1
2019-10-08 14:16:00,2
2019-10-08 14:17:00,3
2019-10-08 14:18:00,1
2019-10-08 14:20:00,1
2019-10-08 14:21:00,1
2019-10-08 14:22:00,2
