2,"SELECT   m.objid, s.specobjid, p.ra, p.dec, p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,   s.z as redshift , g.h_alpha_flux, g.h_beta_flux,   g.oiii_#_flux, g.nii_#_flux, g.oi_#_flux, g.sii_#_flux into Spiral_gz_phot_rshft from dr1#.PhotoObjAll AS p     JOIN DR1#.SpecObj AS s ON s.bestobjid = p.objid     JOIN MyDB.Spiral_gz AS m ON m.objid = p.objid"
2019-10-08 07:29:00,1
2019-10-08 07:30:00,1
