79,"select px, py from Celltag3 c     where c.sampleid=#       and c.ptype=#       and c.tdist<#"
2019-10-08 14:27:00,2
2019-10-08 14:28:00,3
2019-10-08 14:29:00,2
2019-10-08 14:30:00,4
2019-10-08 14:31:00,2
2019-10-08 14:32:00,3
2019-10-08 14:33:00,4
2019-10-08 14:34:00,6
2019-10-08 14:35:00,4
2019-10-08 14:36:00,2
2019-10-08 14:37:00,4
2019-10-08 14:38:00,4
2019-10-08 14:39:00,3
2019-10-08 14:40:00,4
2019-10-08 14:41:00,4
2019-10-08 14:42:00,4
2019-10-08 14:43:00,4
2019-10-08 14:44:00,4
2019-10-08 14:45:00,3
2019-10-08 14:46:00,2
2019-10-08 14:47:00,6
2019-10-08 14:48:00,4
2019-10-08 14:49:00,1
