859,"select P.objid,P.ra,P.dec,P.petroMag_r,P.petroMagErr_r,P.deVRad_r,P.petroRad_r,P.deVPhi_r,P.deVAB_r,P.rowc_r,P.colc_r,P.run,P.rerun,P.camcol,P.field from PhotoObjAll P where P.objid = #"
2019-10-08 15:31:00,39
2019-10-08 15:32:00,78
2019-10-08 15:33:00,78
2019-10-08 15:34:00,78
2019-10-08 15:35:00,78
2019-10-08 15:36:00,78
2019-10-08 15:41:00,4
2019-10-08 15:42:00,82
2019-10-08 15:43:00,78
2019-10-08 15:44:00,77
2019-10-08 15:45:00,79
2019-10-08 15:46:00,77
2019-10-08 15:47:00,33
