17,"SELECT TOP #  G.objID, G.ra, G.dec, GN.distance, G.Type, G.mode, P.objID, P.ra, P.dec, P.specObjID, P.petroMag_u, P.petroMag_g, P.petroMag_r, P.petroMag_i, P.petroMag_z, P.cModelMag_u, P.cModelMag_g, P.cModelMag_r, P.cModelMag_i, P.cModelMag_z, Pz.objid, Pz.z, Pz.zErr, Pz.photoErrorClass, Pz.absMagU, Pz.absMagG, Pz.absMagR, Pz.absMagI, Pz.absMagZ From   Galaxy as G JOIN dbo.fGetNearbyObjEq(#, # , #) AS GN  ON G.objID = GN.objID  JOIN PhotoObj AS P  ON P.objID = GN.objid Join Photoz as Pz  ON Pz.objid = GN.objid ORDER BY distance"
2019-10-08 12:18:00,1
2019-10-08 12:19:00,1
2019-10-08 12:24:00,2
2019-10-08 12:25:00,1
2019-10-08 12:26:00,2
2019-10-08 12:30:00,1
2019-10-08 12:31:00,3
2019-10-08 12:32:00,1
2019-10-08 12:34:00,2
2019-10-08 12:39:00,1
2019-10-08 12:42:00,1
2019-10-08 12:59:00,1
