39,"select px, py from Celltag3 c where c.sampleid=#   and c.ptype=#   and c.tdist<#"
2019-10-08 10:19:00,1
2019-10-08 10:30:00,1
2019-10-08 10:32:00,1
2019-10-08 10:35:00,1
2019-10-08 10:36:00,1
2019-10-08 10:37:00,1
2019-10-08 10:41:00,1
2019-10-08 10:44:00,1
2019-10-08 10:52:00,1
2019-10-08 10:57:00,2
2019-10-08 10:59:00,1
2019-10-08 11:01:00,1
2019-10-08 11:03:00,2
2019-10-08 11:05:00,1
2019-10-08 11:06:00,1
2019-10-08 11:07:00,1
2019-10-08 11:12:00,1
2019-10-08 11:13:00,1
2019-10-08 11:14:00,1
2019-10-08 11:19:00,1
2019-10-08 11:21:00,1
2019-10-08 11:23:00,1
2019-10-08 11:24:00,1
2019-10-08 11:25:00,2
2019-10-08 11:27:00,1
2019-10-08 11:28:00,1
2019-10-08 11:29:00,1
2019-10-08 11:30:00,2
2019-10-08 11:31:00,1
2019-10-08 11:32:00,2
2019-10-08 11:34:00,2
2019-10-08 11:40:00,1
2019-10-08 12:54:00,1
