2,"SELECT TOP #  cast(str(s.ra,#,#) as float) as ra,cast(str(s.[dec],#,#) as float) as dec,s.class,s.z,s.zErr,s.zWarning  FROM ..SpecObj as s  WHERE s.z > # AND (s.class = &&&) AND s.zWarning = #"
2019-10-08 16:44:00,1
2019-10-08 16:45:00,1
