5686,"SELECT objid,ra,dec, class, z as redshift FROM SpecPhoto WHERE z ># AND z < # AND class = GALAXY&&&"
2019-10-22 20:50:00,4
2019-10-22 20:51:00,7
2019-10-22 20:52:00,6
2019-10-22 20:53:00,6
2019-10-22 20:54:00,71
2019-10-22 20:55:00,128
2019-10-22 20:56:00,150
2019-10-22 20:57:00,156
2019-10-22 20:58:00,160
2019-10-22 20:59:00,138
2019-10-22 21:00:00,59
2019-10-22 21:01:00,60
2019-10-22 21:02:00,96
2019-10-22 21:03:00,140
2019-10-22 21:04:00,123
2019-10-22 21:05:00,159
2019-10-22 21:06:00,141
2019-10-22 21:07:00,133
2019-10-22 21:08:00,156
2019-10-22 21:09:00,163
2019-10-22 21:10:00,116
2019-10-22 21:11:00,123
2019-10-22 21:12:00,150
2019-10-22 21:13:00,177
2019-10-22 21:14:00,172
2019-10-22 21:15:00,173
2019-10-22 21:16:00,166
2019-10-22 21:17:00,158
2019-10-22 21:18:00,125
2019-10-22 21:19:00,63
2019-10-22 21:20:00,52
2019-10-22 21:21:00,53
2019-10-22 21:22:00,141
2019-10-22 21:23:00,129
2019-10-22 21:24:00,43
2019-10-22 21:39:00,56
2019-10-22 21:40:00,60
2019-10-22 21:41:00,111
2019-10-22 21:42:00,132
2019-10-22 21:43:00,41
2019-10-22 21:59:00,17
2019-10-22 22:00:00,59
2019-10-22 22:01:00,77
2019-10-22 22:02:00,137
2019-10-22 22:03:00,110
2019-10-22 22:07:00,176
2019-10-22 22:08:00,177
2019-10-22 22:09:00,27
2019-10-22 22:14:00,24
2019-10-22 22:15:00,67
2019-10-22 22:16:00,63
2019-10-22 22:17:00,71
2019-10-22 22:18:00,79
2019-10-22 22:52:00,1
2019-10-22 22:56:00,16
2019-10-22 22:57:00,82
2019-10-22 22:58:00,84
2019-10-22 22:59:00,85
2019-10-22 23:00:00,37
