12,"SELECT TOP # emline.fiberid as fiberID, emline.ra, emline.dec,  emline.z as z_noqso, emline.zerr as z_noqso_err,  emline.sigmaStars as emline_vdisp, emline.sigmaStarsErr as emline_vdisp_err,  pca.vdisp_median as pca_vdisp, pca.vdisp_err as pca_vdisp_err,  sp.veldisp as sp_vdisp, sp.veldisperr as sp_vdisp_err  FROM emissionLinesPort AS emline  JOIN stellarMassPCAWisc AS pca ON emline.specobjid = pca.specobjid  JOIN specObj as sp ON emline.specobjid = sp.specobjid  WHERE emline.plate = # AND emline.mjd = # AND pca.warning=#"
2019-10-22 03:52:00,1
2019-10-22 06:22:00,1
2019-10-22 07:30:00,1
2019-10-22 10:06:00,1
2019-10-22 11:53:00,1
2019-10-22 11:54:00,3
2019-10-22 20:02:00,1
2019-10-22 20:24:00,1
2019-10-22 20:59:00,1
2019-10-22 21:31:00,1
