2,"select p.objid, p.ra, p.dec, s.z, s.zErr, p.dered_u, p.dered_g,p.dered_r,p.dered_i,p.dered_z FROM SpecObj s, PhotoPrimary p WHERE ((p.flags & @bad_flags)) = # AND (p.dered_r<=#) AND (p.ra>=#) AND (p.ra<=#) AND (p.dec>#) AND (p.dec<=#) AND (p.type = #) AND (s.bestobjid=p.objid)"
2019-10-22 08:15:00,1
2019-10-22 20:05:00,1
