2,"select top # ra, dec, psfMag_u, psfMag_g, psfMag_r, psfMag_i, psfMag_z from photoObj where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-10-22 20:32:00,1
2019-10-22 21:10:00,1
