2823,"select p.*,   s.z as zspec,   s.zErr as zspec_err, s.zWarning, s.class,   s.subclass, s.primTarget,   s.spectroFlux_u, s.spectroFlux_g, s.spectroFlux_r, s.spectroFlux_i, s.spectroFlux_z,   s.spectroFluxIvar_u, s.spectroFluxIvar_g, s.spectroFluxIvar_r, s.spectroFluxIvar_i, s.spectroFluxIvar_z,   s.snMedian_u, s.snMedian_g, s.snMedian_r, s.snMedian_i, s.snMedian_z  from Galaxy as p, SpecObj as s  where   p.mode = # AND s.zWarning = # AND p.specObjId = s.specObjId AND p.clean = #   AND p.ra > # AND p.ra < # AND p.dec > # AND p.dec < #"
2019-10-22 13:30:00,54
2019-10-22 13:31:00,115
2019-10-22 13:32:00,107
2019-10-22 13:33:00,66
2019-10-22 13:34:00,80
2019-10-22 13:54:00,57
2019-10-22 14:51:00,66
2019-10-22 14:52:00,84
2019-10-22 14:53:00,39
2019-10-22 14:54:00,97
2019-10-22 14:55:00,74
2019-10-22 14:56:00,47
2019-10-22 14:57:00,43
2019-10-22 14:58:00,58
2019-10-22 14:59:00,32
2019-10-22 15:00:00,37
2019-10-22 15:01:00,1
2019-10-22 15:02:00,2
2019-10-22 16:06:00,1
2019-10-22 16:07:00,211
2019-10-22 16:08:00,47
2019-10-22 16:09:00,69
2019-10-22 16:10:00,86
2019-10-22 16:11:00,38
2019-10-22 16:12:00,44
2019-10-22 16:13:00,40
2019-10-22 16:14:00,33
2019-10-22 16:15:00,23
2019-10-22 16:16:00,9
2019-10-22 16:53:00,279
2019-10-22 16:54:00,157
2019-10-22 16:55:00,41
2019-10-22 16:56:00,33
2019-10-22 16:57:00,34
2019-10-22 16:58:00,29
2019-10-22 16:59:00,30
2019-10-22 17:00:00,34
2019-10-22 17:23:00,283
2019-10-22 17:24:00,243
