2677,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-22 12:31:00,180
2019-10-22 12:36:00,272
2019-10-22 12:38:00,61
2019-10-22 12:42:00,131
2019-10-22 12:44:00,31
2019-10-22 12:45:00,84
2019-10-22 12:52:00,106
2019-10-22 12:53:00,101
2019-10-22 12:56:00,119
2019-10-22 12:57:00,239
2019-10-22 12:58:00,77
2019-10-22 12:59:00,45
2019-10-22 13:00:00,50
2019-10-22 13:06:00,108
2019-10-22 13:07:00,100
2019-10-22 13:08:00,71
2019-10-22 13:10:00,77
2019-10-22 13:11:00,42
2019-10-22 13:14:00,50
2019-10-22 13:15:00,14
2019-10-22 13:19:00,23
2019-10-22 13:20:00,192
2019-10-22 13:21:00,157
2019-10-22 13:22:00,347
