14,"SELECT up_id,  dbo.fGetNearestSpecObjIdEq( up_ra,up_dec,up_sep ) as SpecobjId   FROM #upload  WHERE  dbo.fGetNearestSpecObjIdEq( up_ra,up_dec,up_sep ) IS NOT NULL  SELECT TOP #   s.ra,s.dec,s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN #x AS x ON x.SpecobjID=s.SpecobjID  JOIN #upload AS u ON u.up_id = x.up_id   WHERE  s.zWarning = #   ORDER BY x.up_id"
2019-10-22 00:00:00,1
2019-10-22 00:19:00,1
2019-10-22 00:29:00,1
2019-10-22 00:40:00,1
2019-10-22 00:42:00,1
2019-10-22 01:53:00,1
2019-10-22 02:56:00,1
2019-10-22 02:57:00,1
2019-10-22 02:58:00,1
2019-10-22 13:10:00,1
2019-10-22 15:37:00,1
2019-10-22 15:47:00,2
2019-10-22 15:54:00,1
