1153,"select                                                                              G.objID, G.ra, G.dec,                                                       G.petroMag_u, G.petroMag_g, G.petroMag_r, G.petroMag_i, G.petroMag_z,                      G.petroMagErr_u, G.petroMagErr_g, G.petroMagErr_r, G.petroMagErr_i, G.petroMagErr_z,       ph.z                                                                    from                                                                                              Galaxy as G, dbo.fGetNearbyObjEq(#,#,#) as N, photoz as ph                       where                                                                                             G.objID = N.objID and                                                                      ph.objID = N.objID and                                                                     ph.z># and                                                                                ph.z<#"
2019-10-22 16:17:00,1
2019-10-22 16:18:00,1
2019-10-22 16:26:00,1
2019-10-22 16:39:00,2
2019-10-22 16:40:00,2
2019-10-22 16:41:00,3
2019-10-22 16:42:00,3
2019-10-22 18:15:00,9
2019-10-22 18:23:00,5
2019-10-22 18:24:00,5
2019-10-22 18:55:00,6
2019-10-22 18:56:00,17
2019-10-22 18:57:00,16
2019-10-22 18:58:00,15
2019-10-22 18:59:00,13
2019-10-22 19:00:00,15
2019-10-22 19:01:00,17
2019-10-22 19:02:00,14
2019-10-22 19:03:00,13
2019-10-22 19:04:00,15
2019-10-22 19:05:00,15
2019-10-22 19:06:00,17
2019-10-22 19:07:00,12
2019-10-22 19:08:00,17
2019-10-22 19:09:00,14
2019-10-22 19:10:00,15
2019-10-22 19:11:00,17
2019-10-22 19:12:00,17
2019-10-22 19:13:00,17
2019-10-22 19:14:00,16
2019-10-22 19:15:00,14
2019-10-22 19:16:00,19
2019-10-22 19:17:00,11
2019-10-22 19:18:00,14
2019-10-22 19:19:00,13
2019-10-22 19:20:00,17
2019-10-22 19:21:00,15
2019-10-22 19:22:00,15
2019-10-22 19:23:00,17
2019-10-22 19:24:00,16
2019-10-22 19:25:00,16
2019-10-22 19:26:00,17
2019-10-22 19:27:00,15
2019-10-22 19:28:00,15
2019-10-22 19:29:00,14
2019-10-22 19:30:00,16
2019-10-22 19:31:00,15
2019-10-22 19:32:00,15
2019-10-22 19:33:00,18
2019-10-22 19:34:00,16
2019-10-22 19:35:00,16
2019-10-22 19:36:00,17
2019-10-22 19:37:00,17
2019-10-22 19:38:00,15
2019-10-22 19:39:00,16
2019-10-22 19:40:00,16
2019-10-22 19:41:00,14
2019-10-22 19:42:00,17
2019-10-22 19:43:00,17
2019-10-22 19:44:00,17
2019-10-22 19:45:00,18
2019-10-22 19:46:00,15
2019-10-22 19:47:00,16
2019-10-22 19:48:00,17
2019-10-22 19:49:00,17
2019-10-22 19:50:00,18
2019-10-22 19:51:00,13
2019-10-22 19:52:00,14
2019-10-22 19:53:00,16
2019-10-22 19:54:00,15
2019-10-22 19:55:00,15
2019-10-22 19:56:00,13
2019-10-22 19:57:00,15
2019-10-22 19:58:00,14
2019-10-22 19:59:00,17
2019-10-22 20:00:00,13
2019-10-22 20:01:00,13
2019-10-22 20:02:00,17
2019-10-22 20:03:00,17
2019-10-22 20:04:00,18
2019-10-22 20:05:00,18
2019-10-22 20:06:00,17
2019-10-22 20:07:00,7
