15,"SELECT TOP # g.l,  g.b,  s.z as redshift, g.u, g.err_u,  g.g,  g.err_g,  g.r,  g.err_r,  g.i,  g.err_i,  g.z,  g.err_z,  g.extinction_g,  g.extinction_r      FROM  Galaxy AS g  JOIN SpecObj as s ON s.specObjID = g.specObjID  WHERE  g.l between # and # and  g.b between # and # and  g.petroR9#_i/g.petroR5#_i > #  and ((flags & #) = #) and s.z > #"
2019-02-04 18:04:00,1
2019-02-04 18:06:00,1
2019-02-04 18:08:00,1
2019-02-04 18:09:00,1
2019-02-04 19:37:00,1
2019-02-04 19:40:00,1
2019-02-04 19:54:00,1
2019-02-04 19:56:00,1
2019-02-04 20:00:00,1
2019-02-04 20:04:00,1
2019-02-04 20:07:00,1
2019-02-04 20:13:00,1
2019-02-04 23:20:00,1
2019-02-04 23:24:00,1
2019-02-04 23:26:00,1
