4,"select    s.ra, s.dec, s.z, s.zErr,   p.deVAB_r , p.objID , p.deVRad_r, p. deVRadErr_r, s.velDisp, s.velDisp*power((#/(p.deVAB_r)/#),#)      from    SpecObjAll as s,     PhotoObjAll as p       into MyDB.test_DR1#_vel_effective_radius_full_sample      where         s.bestObjID=p.objID       and s.sciencePrimary = # and p.mode = # and p.type=#      and s.z between # and #"
2019-02-04 08:45:00,2
2019-02-04 08:47:00,1
2019-02-04 08:48:00,1
