6338,"SELECT DISTINCT p.ra , p.dec FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = # GROUP BY p.ra, p.dec"
2019-02-04 11:01:00,2
2019-02-04 11:02:00,5
2019-02-04 11:03:00,20
2019-02-04 11:04:00,20
2019-02-04 11:05:00,16
2019-02-04 11:06:00,11
2019-02-04 11:07:00,9
2019-02-04 11:08:00,1
2019-02-04 11:09:00,3
2019-02-04 11:10:00,7
2019-02-04 11:12:00,11
2019-02-04 11:13:00,9
2019-02-04 11:14:00,18
2019-02-04 11:15:00,21
2019-02-04 11:16:00,11
2019-02-04 11:28:00,10
2019-02-04 11:30:00,1
2019-02-04 11:32:00,12
2019-02-04 11:33:00,5
2019-02-04 11:34:00,14
2019-02-04 11:35:00,20
2019-02-04 11:36:00,6
2019-02-04 11:37:00,10
2019-02-04 11:38:00,20
2019-02-04 11:39:00,20
2019-02-04 11:40:00,20
2019-02-04 11:41:00,13
2019-02-04 11:42:00,17
2019-02-04 11:44:00,14
2019-02-04 11:45:00,20
2019-02-04 11:46:00,21
2019-02-04 11:47:00,19
2019-02-04 11:48:00,18
2019-02-04 11:49:00,21
2019-02-04 11:50:00,2
2019-02-04 11:56:00,10
2019-02-04 11:57:00,21
2019-02-04 11:58:00,21
2019-02-04 11:59:00,20
2019-02-04 12:00:00,21
2019-02-04 12:01:00,20
2019-02-04 12:02:00,2
2019-02-04 13:02:00,17
2019-02-04 13:03:00,20
2019-02-04 13:04:00,20
2019-02-04 13:05:00,19
2019-02-04 13:06:00,20
2019-02-04 13:07:00,17
2019-02-04 13:58:00,1
2019-02-04 13:59:00,19
2019-02-04 14:00:00,21
2019-02-04 14:01:00,20
2019-02-04 14:02:00,21
2019-02-04 14:03:00,21
2019-02-04 14:04:00,14
2019-02-04 14:24:00,1
2019-02-04 14:38:00,2
2019-02-04 14:39:00,1
2019-02-04 14:40:00,1
2019-02-04 14:47:00,2
2019-02-04 15:03:00,3
2019-02-04 15:04:00,7
2019-02-04 15:05:00,7
2019-02-04 15:07:00,1
2019-02-04 15:08:00,15
2019-02-04 15:09:00,15
2019-02-04 15:11:00,15
2019-02-04 15:19:00,1
2019-02-04 15:25:00,1
2019-02-04 15:26:00,1
2019-02-04 15:27:00,3
2019-02-04 15:28:00,1
2019-02-04 15:36:00,1
2019-02-04 15:38:00,1
2019-02-04 15:51:00,6
2019-02-04 15:52:00,29
2019-02-04 15:53:00,25
2019-02-04 15:54:00,21
2019-02-04 15:55:00,36
2019-02-04 15:56:00,28
2019-02-04 15:57:00,42
2019-02-04 15:58:00,38
2019-02-04 15:59:00,50
2019-02-04 16:00:00,43
2019-02-04 16:01:00,23
2019-02-04 16:02:00,40
2019-02-04 16:03:00,45
2019-02-04 16:04:00,31
2019-02-04 16:05:00,23
2019-02-04 16:06:00,30
2019-02-04 16:07:00,37
2019-02-04 16:08:00,25
2019-02-04 16:09:00,48
2019-02-04 16:10:00,55
2019-02-04 16:11:00,29
2019-02-04 16:12:00,40
2019-02-04 16:13:00,36
2019-02-04 16:14:00,38
2019-02-04 16:15:00,42
2019-02-04 16:16:00,45
2019-02-04 16:17:00,24
2019-02-04 16:18:00,46
2019-02-04 16:19:00,43
2019-02-04 16:20:00,40
2019-02-04 16:21:00,27
2019-02-04 16:30:00,21
2019-02-04 16:31:00,29
2019-02-04 16:33:00,10
2019-02-04 16:34:00,10
2019-02-04 16:35:00,10
2019-02-04 16:36:00,15
2019-02-04 16:37:00,10
2019-02-04 16:38:00,10
2019-02-04 16:39:00,5
2019-02-04 16:40:00,10
2019-02-04 16:41:00,10
2019-02-04 16:42:00,10
2019-02-04 16:43:00,15
2019-02-04 16:45:00,11
2019-02-04 16:46:00,4
2019-02-04 17:22:00,3
2019-02-04 17:46:00,15
2019-02-04 17:56:00,15
2019-02-04 17:58:00,15
2019-02-04 18:05:00,5
2019-02-04 18:08:00,6
2019-02-04 18:09:00,33
2019-02-04 18:10:00,39
2019-02-04 18:11:00,46
2019-02-04 18:12:00,38
2019-02-04 18:13:00,43
2019-02-04 18:14:00,30
2019-02-04 18:15:00,45
2019-02-04 18:16:00,50
2019-02-04 18:17:00,32
2019-02-04 18:18:00,53
2019-02-04 18:19:00,27
2019-02-04 18:20:00,25
2019-02-04 18:21:00,33
2019-02-04 18:22:00,30
2019-02-04 18:23:00,34
2019-02-04 18:24:00,19
2019-02-04 18:25:00,42
2019-02-04 18:26:00,50
2019-02-04 18:27:00,33
2019-02-04 18:28:00,48
2019-02-04 18:29:00,39
2019-02-04 18:30:00,51
2019-02-04 18:31:00,27
2019-02-04 18:32:00,45
2019-02-04 18:33:00,43
2019-02-04 18:34:00,36
2019-02-04 18:35:00,47
2019-02-04 18:36:00,41
2019-02-04 18:37:00,48
2019-02-04 18:38:00,13
2019-02-04 18:39:00,41
2019-02-04 18:40:00,21
2019-02-04 18:41:00,40
2019-02-04 18:42:00,22
2019-02-04 18:43:00,9
2019-02-04 18:44:00,1
2019-02-04 18:45:00,20
