2067,"SELECT DISTINCT TOP # p.run, p.rerun, p.camcol, max(p.field) as &&&, max(p.ra) as &&&, max(p.dec) as &&& FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) GROUP BY p.run, p.rerun, p.camcol"
2019-02-04 10:59:00,1
2019-02-04 14:03:00,1
2019-02-04 14:04:00,2
2019-02-04 14:05:00,1
2019-02-04 14:24:00,1
2019-02-04 14:38:00,3
2019-02-04 14:39:00,3
2019-02-04 14:40:00,3
2019-02-04 14:41:00,2
2019-02-04 14:47:00,4
2019-02-04 15:03:00,8
2019-02-04 15:04:00,13
2019-02-04 15:05:00,6
2019-02-04 15:07:00,1
2019-02-04 15:08:00,4
2019-02-04 15:09:00,6
2019-02-04 15:11:00,4
2019-02-04 15:19:00,1
2019-02-04 15:25:00,1
2019-02-04 15:26:00,2
2019-02-04 15:27:00,8
2019-02-04 15:28:00,3
2019-02-04 15:36:00,1
2019-02-04 15:37:00,1
2019-02-04 15:51:00,2
2019-02-04 15:52:00,4
2019-02-04 15:53:00,5
2019-02-04 15:54:00,9
2019-02-04 15:55:00,6
2019-02-04 15:56:00,11
2019-02-04 15:57:00,6
2019-02-04 15:58:00,8
2019-02-04 15:59:00,1
2019-02-04 16:00:00,1
2019-02-04 16:01:00,18
2019-02-04 16:02:00,2
2019-02-04 16:03:00,2
2019-02-04 16:04:00,16
2019-02-04 16:05:00,18
2019-02-04 16:06:00,9
2019-02-04 16:07:00,12
2019-02-04 16:08:00,16
2019-02-04 16:09:00,1
2019-02-04 16:10:00,1
2019-02-04 16:11:00,5
2019-02-04 16:12:00,1
2019-02-04 16:13:00,10
2019-02-04 16:14:00,5
2019-02-04 16:15:00,6
2019-02-04 16:17:00,16
2019-02-04 16:18:00,4
2019-02-04 16:19:00,2
2019-02-04 16:20:00,1
2019-02-04 16:21:00,22
2019-02-04 16:22:00,18
2019-02-04 16:31:00,22
2019-02-04 16:32:00,27
2019-02-04 16:33:00,1
2019-02-04 16:34:00,1
2019-02-04 16:35:00,1
2019-02-04 16:36:00,7
2019-02-04 16:37:00,10
2019-02-04 16:38:00,7
2019-02-04 16:39:00,12
2019-02-04 16:40:00,4
2019-02-04 16:41:00,3
2019-02-04 16:42:00,3
2019-02-04 16:44:00,1
2019-02-04 16:45:00,1
2019-02-04 16:46:00,3
2019-02-04 17:05:00,1
2019-02-04 17:06:00,10
2019-02-04 17:10:00,1
2019-02-04 17:12:00,38
2019-02-04 17:13:00,116
2019-02-04 17:14:00,82
2019-02-04 17:17:00,1
2019-02-04 17:18:00,2
2019-02-04 17:46:00,3
2019-02-04 17:56:00,3
2019-02-04 17:58:00,3
2019-02-04 18:05:00,1
2019-02-04 18:08:00,2
2019-02-04 18:09:00,9
2019-02-04 18:10:00,9
2019-02-04 18:11:00,6
2019-02-04 18:12:00,11
2019-02-04 18:13:00,7
2019-02-04 18:14:00,8
