4,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift, s.specobjid from galaxy p, specobj s where p.objid=s.bestobjid and s.z BETWEEN # AND #"
2019-02-04 04:10:00,1
2019-02-04 04:23:00,2
2019-02-04 04:30:00,1
