17,"select top # p.objid, p.ra, p.dec, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and s.z BETWEEN # AND #"
2019-02-04 12:18:00,1
2019-02-04 12:41:00,1
2019-02-04 12:43:00,1
2019-02-04 12:45:00,1
2019-02-04 12:46:00,1
2019-02-04 12:47:00,1
2019-02-04 12:48:00,1
2019-02-04 12:49:00,1
2019-02-04 13:29:00,1
2019-02-04 13:30:00,2
2019-02-04 13:31:00,1
2019-02-04 13:32:00,1
2019-02-04 13:34:00,1
2019-02-04 13:35:00,1
2019-02-04 13:36:00,1
2019-02-04 13:37:00,1
