14,"select p.ra, p.dec, p.g, p.Err_g from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_g <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-25 04:45:00,1
2019-03-25 05:00:00,1
2019-03-25 08:27:00,1
2019-03-25 08:55:00,1
2019-03-25 09:21:00,1
2019-03-25 09:58:00,1
2019-03-25 10:57:00,1
2019-03-25 11:21:00,1
2019-03-25 12:15:00,1
2019-03-25 16:06:00,1
2019-03-25 16:07:00,1
2019-03-25 16:22:00,1
2019-03-25 16:35:00,1
2019-03-25 16:45:00,1
