15,"select p.ra, p.dec, p.i, p.Err_i from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_i <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-25 04:45:00,1
2019-03-25 04:59:00,1
2019-03-25 08:29:00,1
2019-03-25 08:58:00,1
2019-03-25 09:23:00,1
2019-03-25 10:01:00,1
2019-03-25 10:25:00,1
2019-03-25 10:59:00,1
2019-03-25 11:23:00,1
2019-03-25 12:16:00,1
2019-03-25 16:09:00,1
2019-03-25 16:10:00,1
2019-03-25 16:24:00,1
2019-03-25 16:37:00,1
2019-03-25 16:47:00,1
