46,"select P.objID, P.ra, P.dec , P.u, P.g, P.r, P.i, P.z, P.type from PhotoPrimary as P , dbo.fGetNearbyObjEq(#, #, # ) N where P.objID = N.objID"
2019-03-25 17:28:00,1
2019-03-25 17:29:00,2
2019-03-25 17:30:00,1
2019-03-25 17:31:00,1
2019-03-25 17:32:00,2
2019-03-25 17:33:00,1
2019-03-25 17:34:00,1
2019-03-25 17:35:00,2
2019-03-25 17:36:00,1
2019-03-25 17:37:00,1
2019-03-25 17:38:00,1
2019-03-25 17:39:00,2
2019-03-25 17:40:00,1
2019-03-25 17:41:00,1
2019-03-25 17:42:00,2
2019-03-25 17:43:00,1
2019-03-25 17:44:00,1
2019-03-25 17:45:00,2
2019-03-25 17:46:00,1
2019-03-25 17:47:00,1
2019-03-25 17:48:00,2
2019-03-25 17:49:00,1
2019-03-25 17:50:00,1
2019-03-25 17:51:00,1
2019-03-25 17:52:00,2
2019-03-25 17:53:00,1
2019-03-25 17:54:00,1
2019-03-25 17:55:00,2
2019-03-25 17:56:00,1
2019-03-25 22:52:00,1
2019-03-25 22:53:00,1
2019-03-25 22:54:00,2
2019-03-25 22:55:00,1
2019-03-25 22:56:00,1
2019-03-25 22:57:00,1
2019-03-25 22:58:00,1
