20,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-25 03:19:00,1
2019-03-25 14:54:00,1
2019-03-25 15:01:00,1
2019-03-25 15:21:00,1
2019-03-25 15:25:00,1
2019-03-25 19:02:00,1
2019-03-25 19:24:00,2
2019-03-25 19:25:00,2
2019-03-25 19:28:00,1
2019-03-25 19:34:00,1
2019-03-25 19:45:00,1
2019-03-25 19:46:00,1
2019-03-25 19:49:00,1
2019-03-25 19:52:00,2
2019-03-25 19:58:00,1
2019-03-25 23:39:00,2
