14,"select p.ra, p.dec, p.r, p.Err_r from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_r <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-25 04:40:00,1
2019-03-25 04:56:00,1
2019-03-25 08:28:00,1
2019-03-25 08:57:00,1
2019-03-25 09:22:00,1
2019-03-25 10:00:00,1
2019-03-25 10:58:00,1
2019-03-25 11:22:00,1
2019-03-25 12:15:00,1
2019-03-25 16:08:00,1
2019-03-25 16:09:00,1
2019-03-25 16:23:00,1
2019-03-25 16:36:00,1
2019-03-25 16:46:00,1
