41,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and s.z BETWEEN # AND #"
2019-03-25 15:06:00,1
2019-03-25 15:09:00,2
2019-03-25 15:11:00,1
2019-03-25 15:12:00,1
2019-03-25 15:13:00,2
2019-03-25 15:15:00,2
2019-03-25 15:16:00,2
2019-03-25 15:18:00,1
2019-03-25 15:19:00,1
2019-03-25 15:21:00,1
2019-03-25 15:22:00,1
2019-03-25 15:24:00,1
2019-03-25 15:25:00,1
2019-03-25 15:27:00,2
2019-03-25 15:28:00,1
2019-03-25 15:29:00,1
2019-03-25 15:30:00,1
2019-03-25 15:32:00,2
2019-03-25 15:33:00,2
2019-03-25 15:34:00,2
2019-03-25 15:55:00,2
2019-03-25 16:00:00,2
2019-03-25 16:07:00,1
2019-03-25 16:11:00,1
2019-03-25 16:14:00,2
2019-03-25 16:18:00,1
2019-03-25 16:19:00,1
2019-03-25 17:23:00,1
2019-03-25 18:05:00,1
2019-03-25 18:06:00,1
