20,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-03-25 14:59:00,1
2019-03-25 15:00:00,1
2019-03-25 15:02:00,1
2019-03-25 15:03:00,1
2019-03-25 15:04:00,1
2019-03-25 15:07:00,1
2019-03-25 15:11:00,1
2019-03-25 15:12:00,1
2019-03-25 15:14:00,1
2019-03-25 15:15:00,1
2019-03-25 15:16:00,1
2019-03-25 15:17:00,1
2019-03-25 15:18:00,1
2019-03-25 15:19:00,1
2019-03-25 15:21:00,1
2019-03-25 15:22:00,1
2019-03-25 15:23:00,1
2019-03-25 15:24:00,1
2019-03-25 16:09:00,1
2019-03-25 16:10:00,1
