14,"select p.ra, p.dec, p.z, p.Err_z from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_z <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-25 04:52:00,1
2019-03-25 05:05:00,1
2019-03-25 08:30:00,1
2019-03-25 09:00:00,1
2019-03-25 09:25:00,1
2019-03-25 10:03:00,1
2019-03-25 11:01:00,1
2019-03-25 11:25:00,1
2019-03-25 12:18:00,1
2019-03-25 16:10:00,1
2019-03-25 16:12:00,1
2019-03-25 16:26:00,1
2019-03-25 16:38:00,1
2019-03-25 16:48:00,1
