20,"SELECT * FROM aspcapStar p, apogeeStar s WHERE (p.aspcapflag & dbo.fApogeeAspcapFlag(&&&)) = # and s.apogee_id=p.apogee_id and p.apogee_id IN (&&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&)"
2019-03-25 13:59:00,2
2019-03-25 14:28:00,2
2019-03-25 14:32:00,2
2019-03-25 14:38:00,2
2019-03-25 14:42:00,2
2019-03-25 15:15:00,2
2019-03-25 16:07:00,1
2019-03-25 16:08:00,1
2019-03-25 16:14:00,2
2019-03-25 16:35:00,2
2019-03-25 16:51:00,2
