4,"SELECT TOP # CASE WHEN # <= z AND z <= # THEN z END AS &&&, CASE WHEN # < z AND z <= # THEN z END AS &&& FROM SpecObj WHERE class = &&& AND zWarning = #"
2019-03-25 19:25:00,2
2019-03-25 19:26:00,1
2019-03-25 19:31:00,1
