22,"SELECT TOP # objID, ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, clean FROM StarTag WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND modelMag_r BETWEEN # AND # AND clean = #"
2019-03-25 00:13:00,1
2019-03-25 00:21:00,1
2019-03-25 00:25:00,1
2019-03-25 20:32:00,1
2019-03-25 20:43:00,1
2019-03-25 21:06:00,1
2019-03-25 21:17:00,1
2019-03-25 21:29:00,1
2019-03-25 21:40:00,1
2019-03-25 22:25:00,1
2019-03-25 22:30:00,1
2019-03-25 22:31:00,1
2019-03-25 22:32:00,1
2019-03-25 22:38:00,1
2019-03-25 22:49:00,1
2019-03-25 23:01:00,1
2019-03-25 23:14:00,1
2019-03-25 23:30:00,1
2019-03-25 23:36:00,1
2019-03-25 23:46:00,1
2019-03-25 23:47:00,1
2019-03-25 23:50:00,1
