567,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName=&&& order by [indexMapId]"
2019-03-25 01:25:00,1
2019-03-25 01:26:00,18
2019-03-25 02:14:00,42
2019-03-25 04:40:00,42
2019-03-25 05:09:00,18
2019-03-25 08:28:00,42
2019-03-25 09:44:00,1
2019-03-25 09:55:00,42
2019-03-25 10:23:00,1
2019-03-25 11:50:00,54
2019-03-25 12:59:00,42
2019-03-25 14:54:00,18
2019-03-25 15:06:00,18
2019-03-25 15:13:00,42
2019-03-25 17:38:00,42
2019-03-25 17:49:00,42
2019-03-25 18:12:00,42
2019-03-25 18:26:00,18
2019-03-25 23:53:00,42
