73807,"select ObjID,ra,dec,dbo.fIAUFromEq(ra,dec) FROM PhotoObj WHERE ObjID=#"
2019-10-25 20:40:00,1
2019-10-25 20:43:00,161
2019-10-25 20:44:00,398
2019-10-25 20:45:00,331
2019-10-25 20:46:00,396
2019-10-25 20:47:00,392
2019-10-25 20:48:00,398
2019-10-25 20:49:00,393
2019-10-25 20:50:00,395
2019-10-25 20:51:00,394
2019-10-25 20:52:00,365
2019-10-25 20:53:00,394
2019-10-25 20:54:00,365
2019-10-25 20:55:00,361
2019-10-25 20:56:00,368
2019-10-25 20:57:00,392
2019-10-25 20:58:00,379
2019-10-25 20:59:00,395
2019-10-25 21:00:00,397
2019-10-25 21:01:00,395
2019-10-25 21:02:00,371
2019-10-25 21:03:00,382
2019-10-25 21:04:00,386
2019-10-25 21:05:00,348
2019-10-25 21:06:00,384
2019-10-25 21:07:00,394
2019-10-25 21:08:00,390
2019-10-25 21:09:00,361
2019-10-25 21:10:00,398
2019-10-25 21:11:00,400
2019-10-25 21:12:00,385
2019-10-25 21:13:00,400
2019-10-25 21:14:00,376
2019-10-25 21:15:00,366
2019-10-25 21:16:00,401
2019-10-25 21:17:00,392
2019-10-25 21:18:00,389
2019-10-25 21:19:00,348
2019-10-25 21:20:00,401
2019-10-25 21:21:00,339
2019-10-25 21:22:00,281
2019-10-25 21:23:00,397
2019-10-25 21:24:00,397
2019-10-25 21:25:00,398
2019-10-25 21:26:00,399
2019-10-25 21:27:00,393
2019-10-25 21:28:00,322
2019-10-25 21:29:00,304
2019-10-25 21:30:00,391
2019-10-25 21:31:00,396
2019-10-25 21:32:00,398
2019-10-25 21:33:00,388
2019-10-25 21:34:00,398
2019-10-25 21:35:00,389
2019-10-25 21:36:00,384
2019-10-25 21:37:00,396
2019-10-25 21:38:00,396
2019-10-25 21:39:00,388
2019-10-25 21:40:00,398
2019-10-25 21:41:00,390
2019-10-25 21:42:00,401
2019-10-25 21:43:00,405
2019-10-25 21:44:00,404
2019-10-25 21:45:00,405
2019-10-25 21:46:00,396
2019-10-25 21:47:00,400
2019-10-25 21:48:00,398
2019-10-25 21:49:00,397
2019-10-25 21:50:00,398
2019-10-25 21:51:00,361
2019-10-25 21:52:00,400
2019-10-25 21:53:00,402
2019-10-25 21:54:00,394
2019-10-25 21:55:00,401
2019-10-25 21:56:00,377
2019-10-25 21:57:00,394
2019-10-25 21:58:00,399
2019-10-25 21:59:00,392
2019-10-25 22:00:00,376
