25,"SELECT TOP #   objID, ra, dec,   sqrt( power(rowv,#) + power(colv, #) ) as velocity   FROM PhotoObj   WHERE   (power(rowv,#) + power(colv, #)) > #   AND rowv != # and colv != #"
2019-01-30 16:41:00,1
2019-01-30 16:42:00,3
2019-01-30 16:44:00,1
2019-01-30 16:46:00,1
2019-01-30 16:48:00,1
2019-01-30 16:50:00,1
2019-01-30 16:51:00,1
2019-01-30 16:52:00,1
2019-01-30 16:54:00,1
2019-01-30 18:09:00,1
2019-01-30 18:10:00,1
2019-01-30 18:11:00,3
2019-01-30 18:12:00,2
2019-01-30 18:13:00,1
2019-01-30 18:14:00,4
2019-01-30 18:38:00,1
2019-01-30 23:16:00,1
