1023,"SELECT aa_g,kk_g,airmass_g,gain_g FROM Field where run=# AND rerun=# AND camcol=# AND field=#"
2019-01-30 00:00:00,1
2019-01-30 00:02:00,1
2019-01-30 00:04:00,1
2019-01-30 00:06:00,1
2019-01-30 00:09:00,1
2019-01-30 00:10:00,1
2019-01-30 00:12:00,1
2019-01-30 00:14:00,1
2019-01-30 00:16:00,1
2019-01-30 00:18:00,1
2019-01-30 00:20:00,1
2019-01-30 00:21:00,1
2019-01-30 00:24:00,1
2019-01-30 00:26:00,1
2019-01-30 00:28:00,1
2019-01-30 00:30:00,1
2019-01-30 00:32:00,1
2019-01-30 00:33:00,1
2019-01-30 00:35:00,1
2019-01-30 00:39:00,1
2019-01-30 00:41:00,1
2019-01-30 00:44:00,1
2019-01-30 00:46:00,1
2019-01-30 00:47:00,1
2019-01-30 00:50:00,1
2019-01-30 00:52:00,1
2019-01-30 00:53:00,1
2019-01-30 00:55:00,1
2019-01-30 00:57:00,1
2019-01-30 01:00:00,1
2019-01-30 01:02:00,1
2019-01-30 01:04:00,1
2019-01-30 01:06:00,1
2019-01-30 01:09:00,1
2019-01-30 01:12:00,1
2019-01-30 01:14:00,1
2019-01-30 01:15:00,1
2019-01-30 01:18:00,1
2019-01-30 01:20:00,1
2019-01-30 01:23:00,1
2019-01-30 01:24:00,1
2019-01-30 01:27:00,1
2019-01-30 01:29:00,1
2019-01-30 01:31:00,1
2019-01-30 01:33:00,1
2019-01-30 01:35:00,1
2019-01-30 01:38:00,1
2019-01-30 01:40:00,1
2019-01-30 01:41:00,1
2019-01-30 01:43:00,1
2019-01-30 01:46:00,1
2019-01-30 01:49:00,1
2019-01-30 01:52:00,1
2019-01-30 01:56:00,1
2019-01-30 01:59:00,1
2019-01-30 02:01:00,1
2019-01-30 02:04:00,1
2019-01-30 02:07:00,1
2019-01-30 02:10:00,1
2019-01-30 02:13:00,1
2019-01-30 02:15:00,1
2019-01-30 02:18:00,1
2019-01-30 02:20:00,1
2019-01-30 02:22:00,1
2019-01-30 02:24:00,1
2019-01-30 02:26:00,1
2019-01-30 02:28:00,1
2019-01-30 02:29:00,1
2019-01-30 02:32:00,1
2019-01-30 02:33:00,1
2019-01-30 02:35:00,1
2019-01-30 02:36:00,1
2019-01-30 02:37:00,1
2019-01-30 02:38:00,1
2019-01-30 02:39:00,1
2019-01-30 02:40:00,1
2019-01-30 02:42:00,1
2019-01-30 02:43:00,1
2019-01-30 02:45:00,1
2019-01-30 02:47:00,1
2019-01-30 02:49:00,1
2019-01-30 02:51:00,1
2019-01-30 02:53:00,1
2019-01-30 02:54:00,1
2019-01-30 02:56:00,1
2019-01-30 02:58:00,1
2019-01-30 03:01:00,1
2019-01-30 03:03:00,1
2019-01-30 03:07:00,1
2019-01-30 03:09:00,1
2019-01-30 03:11:00,1
2019-01-30 03:13:00,1
2019-01-30 03:15:00,1
2019-01-30 03:17:00,1
2019-01-30 03:19:00,1
2019-01-30 03:21:00,1
2019-01-30 03:22:00,1
2019-01-30 03:24:00,1
2019-01-30 03:26:00,1
2019-01-30 03:28:00,1
2019-01-30 03:30:00,1
2019-01-30 03:31:00,1
2019-01-30 03:33:00,1
2019-01-30 03:35:00,1
2019-01-30 03:36:00,1
2019-01-30 03:38:00,1
2019-01-30 03:39:00,1
2019-01-30 03:42:00,1
2019-01-30 03:44:00,1
2019-01-30 03:46:00,1
2019-01-30 03:49:00,1
2019-01-30 03:50:00,1
2019-01-30 03:52:00,1
2019-01-30 03:54:00,1
2019-01-30 03:56:00,1
2019-01-30 03:58:00,1
2019-01-30 04:00:00,1
2019-01-30 04:01:00,1
2019-01-30 04:03:00,1
2019-01-30 04:05:00,1
2019-01-30 04:06:00,1
2019-01-30 04:08:00,1
2019-01-30 04:09:00,1
2019-01-30 04:11:00,1
2019-01-30 04:13:00,1
2019-01-30 04:15:00,1
2019-01-30 04:17:00,1
2019-01-30 04:19:00,1
2019-01-30 04:20:00,1
2019-01-30 04:22:00,1
2019-01-30 04:24:00,1
2019-01-30 04:25:00,1
2019-01-30 04:27:00,1
2019-01-30 04:29:00,1
2019-01-30 04:30:00,1
2019-01-30 04:32:00,1
2019-01-30 04:34:00,1
2019-01-30 04:36:00,1
2019-01-30 04:37:00,1
2019-01-30 04:39:00,1
2019-01-30 04:41:00,1
2019-01-30 04:42:00,1
2019-01-30 04:44:00,1
2019-01-30 04:46:00,1
2019-01-30 04:47:00,1
2019-01-30 04:50:00,1
2019-01-30 04:53:00,1
2019-01-30 04:55:00,1
2019-01-30 04:57:00,1
2019-01-30 04:59:00,1
2019-01-30 05:01:00,1
2019-01-30 05:03:00,1
2019-01-30 05:05:00,1
2019-01-30 05:06:00,1
2019-01-30 05:08:00,1
2019-01-30 05:09:00,1
2019-01-30 05:10:00,1
2019-01-30 05:11:00,1
2019-01-30 05:12:00,1
2019-01-30 05:13:00,1
2019-01-30 05:14:00,1
2019-01-30 05:15:00,1
2019-01-30 05:17:00,1
2019-01-30 05:18:00,1
2019-01-30 05:19:00,1
2019-01-30 05:20:00,1
2019-01-30 05:21:00,1
2019-01-30 05:22:00,1
2019-01-30 05:23:00,1
2019-01-30 05:24:00,1
2019-01-30 05:25:00,1
2019-01-30 05:26:00,1
2019-01-30 05:27:00,1
2019-01-30 05:28:00,1
2019-01-30 05:29:00,1
2019-01-30 05:30:00,1
2019-01-30 05:31:00,1
2019-01-30 05:32:00,2
2019-01-30 05:33:00,1
2019-01-30 05:34:00,1
