18,"SELECT TOP # objID, ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, clean FROM StarTag WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND modelMag_r BETWEEN # AND # AND clean = #"
2019-01-30 20:58:00,1
2019-01-30 21:00:00,1
2019-01-30 21:02:00,1
2019-01-30 21:08:00,1
2019-01-30 21:20:00,1
2019-01-30 21:33:00,1
2019-01-30 22:51:00,1
2019-01-30 22:52:00,1
2019-01-30 22:54:00,1
2019-01-30 22:56:00,1
2019-01-30 22:57:00,1
2019-01-30 22:59:00,1
2019-01-30 23:11:00,1
2019-01-30 23:12:00,1
2019-01-30 23:27:00,1
2019-01-30 23:38:00,1
2019-01-30 23:49:00,1
2019-01-30 23:59:00,1
