62,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-01-30 07:57:00,2
2019-01-30 07:59:00,2
2019-01-30 08:00:00,2
2019-01-30 08:01:00,2
2019-01-30 08:06:00,1
2019-01-30 08:08:00,1
2019-01-30 08:09:00,1
2019-01-30 08:10:00,1
2019-01-30 11:07:00,4
2019-01-30 11:09:00,4
2019-01-30 11:10:00,2
2019-01-30 11:11:00,4
2019-01-30 11:12:00,4
2019-01-30 11:13:00,2
2019-01-30 11:15:00,2
2019-01-30 11:19:00,2
2019-01-30 12:07:00,2
2019-01-30 12:09:00,2
2019-01-30 12:10:00,2
2019-01-30 12:11:00,1
2019-01-30 12:12:00,1
2019-01-30 12:25:00,1
2019-01-30 12:26:00,1
2019-01-30 12:27:00,2
2019-01-30 12:28:00,2
2019-01-30 12:29:00,2
2019-01-30 12:43:00,2
2019-01-30 12:44:00,2
2019-01-30 12:46:00,2
2019-01-30 12:47:00,2
2019-01-30 13:13:00,2
