36,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-01-30 00:40:00,1
2019-01-30 01:31:00,1
2019-01-30 02:27:00,1
2019-01-30 06:48:00,1
2019-01-30 06:56:00,1
2019-01-30 08:31:00,1
2019-01-30 08:32:00,1
2019-01-30 12:08:00,3
2019-01-30 12:09:00,11
2019-01-30 16:51:00,1
2019-01-30 16:52:00,1
2019-01-30 16:53:00,2
2019-01-30 16:54:00,2
2019-01-30 16:55:00,1
2019-01-30 16:56:00,1
2019-01-30 16:59:00,1
2019-01-30 17:35:00,1
2019-01-30 17:40:00,1
2019-01-30 17:41:00,1
2019-01-30 17:57:00,1
2019-01-30 17:59:00,1
2019-01-30 18:01:00,1
