1019,"SELECT aa_i,kk_i,airmass_i,gain_i FROM Field where run=# AND rerun=# AND camcol=# AND field=#"
2019-01-30 00:01:00,1
2019-01-30 00:03:00,1
2019-01-30 00:05:00,1
2019-01-30 00:07:00,1
2019-01-30 00:09:00,1
2019-01-30 00:10:00,1
2019-01-30 00:11:00,1
2019-01-30 00:13:00,1
2019-01-30 00:15:00,1
2019-01-30 00:17:00,1
2019-01-30 00:19:00,1
2019-01-30 00:21:00,1
2019-01-30 00:22:00,1
2019-01-30 00:25:00,1
2019-01-30 00:27:00,1
2019-01-30 00:29:00,1
2019-01-30 00:31:00,1
2019-01-30 00:33:00,1
2019-01-30 00:34:00,1
2019-01-30 00:37:00,1
2019-01-30 00:40:00,1
2019-01-30 00:43:00,1
2019-01-30 00:45:00,1
2019-01-30 00:47:00,1
2019-01-30 00:49:00,1
2019-01-30 00:52:00,1
2019-01-30 00:53:00,1
2019-01-30 00:54:00,1
2019-01-30 00:56:00,1
2019-01-30 00:59:00,1
2019-01-30 01:01:00,1
2019-01-30 01:03:00,1
2019-01-30 01:05:00,1
2019-01-30 01:08:00,1
2019-01-30 01:11:00,1
2019-01-30 01:13:00,1
2019-01-30 01:15:00,1
2019-01-30 01:17:00,1
2019-01-30 01:19:00,1
2019-01-30 01:22:00,1
2019-01-30 01:23:00,1
2019-01-30 01:26:00,1
2019-01-30 01:29:00,1
2019-01-30 01:30:00,1
2019-01-30 01:32:00,1
2019-01-30 01:34:00,1
2019-01-30 01:37:00,1
2019-01-30 01:39:00,1
2019-01-30 01:41:00,1
2019-01-30 01:42:00,1
2019-01-30 01:45:00,1
2019-01-30 01:48:00,1
2019-01-30 01:51:00,1
2019-01-30 01:54:00,1
2019-01-30 01:58:00,1
2019-01-30 02:00:00,1
2019-01-30 02:03:00,1
2019-01-30 02:06:00,1
2019-01-30 02:09:00,1
2019-01-30 02:11:00,1
2019-01-30 02:14:00,1
2019-01-30 02:17:00,1
2019-01-30 02:19:00,1
2019-01-30 02:21:00,1
2019-01-30 02:23:00,1
2019-01-30 02:25:00,1
2019-01-30 02:27:00,1
2019-01-30 02:28:00,1
2019-01-30 02:31:00,1
2019-01-30 02:33:00,1
2019-01-30 02:34:00,1
2019-01-30 02:35:00,1
2019-01-30 02:36:00,1
2019-01-30 02:38:00,1
2019-01-30 02:39:00,1
2019-01-30 02:40:00,1
2019-01-30 02:41:00,1
2019-01-30 02:43:00,1
2019-01-30 02:45:00,1
2019-01-30 02:46:00,1
2019-01-30 02:48:00,1
2019-01-30 02:50:00,1
2019-01-30 02:52:00,1
2019-01-30 02:54:00,1
2019-01-30 02:55:00,1
2019-01-30 02:57:00,1
2019-01-30 03:00:00,1
2019-01-30 03:02:00,1
2019-01-30 03:05:00,1
2019-01-30 03:08:00,1
2019-01-30 03:10:00,1
2019-01-30 03:12:00,1
2019-01-30 03:14:00,1
2019-01-30 03:16:00,1
2019-01-30 03:18:00,1
2019-01-30 03:20:00,1
2019-01-30 03:21:00,1
2019-01-30 03:23:00,1
2019-01-30 03:25:00,1
2019-01-30 03:27:00,1
2019-01-30 03:29:00,1
2019-01-30 03:30:00,1
2019-01-30 03:32:00,1
2019-01-30 03:34:00,1
2019-01-30 03:36:00,1
2019-01-30 03:37:00,1
2019-01-30 03:38:00,1
2019-01-30 03:40:00,1
2019-01-30 03:43:00,1
2019-01-30 03:46:00,1
2019-01-30 03:47:00,1
2019-01-30 03:49:00,1
2019-01-30 03:51:00,1
2019-01-30 03:53:00,1
2019-01-30 03:55:00,1
2019-01-30 03:57:00,1
2019-01-30 03:59:00,1
2019-01-30 04:01:00,1
2019-01-30 04:02:00,1
2019-01-30 04:04:00,1
2019-01-30 04:06:00,1
2019-01-30 04:07:00,1
2019-01-30 04:09:00,1
2019-01-30 04:10:00,1
2019-01-30 04:12:00,1
2019-01-30 04:14:00,1
2019-01-30 04:16:00,1
2019-01-30 04:18:00,1
2019-01-30 04:20:00,1
2019-01-30 04:21:00,1
2019-01-30 04:23:00,1
2019-01-30 04:24:00,1
2019-01-30 04:26:00,1
2019-01-30 04:28:00,1
2019-01-30 04:30:00,1
2019-01-30 04:31:00,1
2019-01-30 04:33:00,1
2019-01-30 04:35:00,1
2019-01-30 04:37:00,1
2019-01-30 04:38:00,1
2019-01-30 04:40:00,1
2019-01-30 04:41:00,1
2019-01-30 04:43:00,1
2019-01-30 04:45:00,1
2019-01-30 04:47:00,1
2019-01-30 04:49:00,1
2019-01-30 04:52:00,1
2019-01-30 04:54:00,1
2019-01-30 04:57:00,1
2019-01-30 04:58:00,1
2019-01-30 05:00:00,1
2019-01-30 05:02:00,1
2019-01-30 05:04:00,1
2019-01-30 05:05:00,1
2019-01-30 05:07:00,1
2019-01-30 05:08:00,1
2019-01-30 05:09:00,1
2019-01-30 05:11:00,1
2019-01-30 05:12:00,1
2019-01-30 05:13:00,1
2019-01-30 05:14:00,1
2019-01-30 05:15:00,1
2019-01-30 05:16:00,1
2019-01-30 05:17:00,1
2019-01-30 05:18:00,1
2019-01-30 05:20:00,2
2019-01-30 05:22:00,1
2019-01-30 05:23:00,2
2019-01-30 05:24:00,1
2019-01-30 05:26:00,1
2019-01-30 05:27:00,1
2019-01-30 05:28:00,1
2019-01-30 05:29:00,1
2019-01-30 05:30:00,2
2019-01-30 05:31:00,1
2019-01-30 05:32:00,1
2019-01-30 05:33:00,1
2019-01-30 05:34:00,2
2019-01-30 05:35:00,1
2019-01-30 05:36:00,1
2019-01-30 05:37:00,2
2019-01-30 05:38:00,1
2019-01-30 05:39:00,2
2019-01-30 05:40:00,1
2019-01-30 05:41:00,1
2019-01-30 05:42:00,1
2019-01-30 05:43:00,2
2019-01-30 05:44:00,1
2019-01-30 05:45:00,1
2019-01-30 05:46:00,1
2019-01-30 05:47:00,2
2019-01-30 05:48:00,1
2019-01-30 05:49:00,1
2019-01-30 05:50:00,2
2019-01-30 05:51:00,1
2019-01-30 05:52:00,1
2019-01-30 05:53:00,1
2019-01-30 05:54:00,1
2019-01-30 05:55:00,2
2019-01-30 05:56:00,1
2019-01-30 05:57:00,1
2019-01-30 05:58:00,1
2019-01-30 06:00:00,1
2019-01-30 06:01:00,1
2019-01-30 06:02:00,1
2019-01-30 06:03:00,1
2019-01-30 06:04:00,1
2019-01-30 06:07:00,1
2019-01-30 06:08:00,1
2019-01-30 06:09:00,1
2019-01-30 06:10:00,1
2019-01-30 06:12:00,1
2019-01-30 06:13:00,1
2019-01-30 06:15:00,1
2019-01-30 06:16:00,1
2019-01-30 06:17:00,1
2019-01-30 06:18:00,1
2019-01-30 06:20:00,1
2019-01-30 06:21:00,1
2019-01-30 06:22:00,1
2019-01-30 06:23:00,1
2019-01-30 06:24:00,1
2019-01-30 06:26:00,1
2019-01-30 06:27:00,2
2019-01-30 06:28:00,1
2019-01-30 06:29:00,1
2019-01-30 06:30:00,1
2019-01-30 06:31:00,1
2019-01-30 06:33:00,1
2019-01-30 06:34:00,1
2019-01-30 06:36:00,1
2019-01-30 06:37:00,1
2019-01-30 06:39:00,1
2019-01-30 06:40:00,1
2019-01-30 06:41:00,1
2019-01-30 06:43:00,1
2019-01-30 06:44:00,1
2019-01-30 06:46:00,1
2019-01-30 06:47:00,1
2019-01-30 06:49:00,1
2019-01-30 06:50:00,1
2019-01-30 06:51:00,1
2019-01-30 06:52:00,1
2019-01-30 06:54:00,1
2019-01-30 06:55:00,1
2019-01-30 06:57:00,1
2019-01-30 06:58:00,1
2019-01-30 06:59:00,1
2019-01-30 07:01:00,1
2019-01-30 07:02:00,1
2019-01-30 07:03:00,1
2019-01-30 07:04:00,1
2019-01-30 07:06:00,1
2019-01-30 07:07:00,1
2019-01-30 07:08:00,1
2019-01-30 07:09:00,1
2019-01-30 07:11:00,1
2019-01-30 07:12:00,1
2019-01-30 07:13:00,1
2019-01-30 07:15:00,1
2019-01-30 07:17:00,1
2019-01-30 07:18:00,1
2019-01-30 07:20:00,1
2019-01-30 07:21:00,1
2019-01-30 07:23:00,1
2019-01-30 07:25:00,1
2019-01-30 07:26:00,1
2019-01-30 07:28:00,1
2019-01-30 07:29:00,1
2019-01-30 07:30:00,1
2019-01-30 07:31:00,1
2019-01-30 07:33:00,1
2019-01-30 07:34:00,1
2019-01-30 07:35:00,1
2019-01-30 07:37:00,1
2019-01-30 07:38:00,1
2019-01-30 07:40:00,1
2019-01-30 07:42:00,1
2019-01-30 07:44:00,1
2019-01-30 07:46:00,1
2019-01-30 07:47:00,1
2019-01-30 07:49:00,1
2019-01-30 07:50:00,1
2019-01-30 07:51:00,1
2019-01-30 07:53:00,1
2019-01-30 07:54:00,1
2019-01-30 07:55:00,1
2019-01-30 07:57:00,1
2019-01-30 07:58:00,1
2019-01-30 07:59:00,1
2019-01-30 08:01:00,1
2019-01-30 08:02:00,1
2019-01-30 08:03:00,1
2019-01-30 08:05:00,1
2019-01-30 08:06:00,1
2019-01-30 08:07:00,1
2019-01-30 08:09:00,1
2019-01-30 08:10:00,1
2019-01-30 08:12:00,1
2019-01-30 08:13:00,1
2019-01-30 08:15:00,1
2019-01-30 08:16:00,1
2019-01-30 08:18:00,1
2019-01-30 08:19:00,1
2019-01-30 08:21:00,1
2019-01-30 08:22:00,1
2019-01-30 08:24:00,1
2019-01-30 08:25:00,1
2019-01-30 08:27:00,1
2019-01-30 08:29:00,1
2019-01-30 08:31:00,1
2019-01-30 08:32:00,1
2019-01-30 08:34:00,1
2019-01-30 08:36:00,1
2019-01-30 08:37:00,1
2019-01-30 08:39:00,1
2019-01-30 08:40:00,1
2019-01-30 08:42:00,1
2019-01-30 08:43:00,1
2019-01-30 08:45:00,1
2019-01-30 08:46:00,1
2019-01-30 08:48:00,1
2019-01-30 08:50:00,1
2019-01-30 08:51:00,1
2019-01-30 08:53:00,1
2019-01-30 08:54:00,1
2019-01-30 08:56:00,1
2019-01-30 08:57:00,1
2019-01-30 08:59:00,1
2019-01-30 09:00:00,1
2019-01-30 09:02:00,1
2019-01-30 09:04:00,1
2019-01-30 09:05:00,1
2019-01-30 09:07:00,1
2019-01-30 09:08:00,1
2019-01-30 09:10:00,1
2019-01-30 09:11:00,1
2019-01-30 09:13:00,1
2019-01-30 09:14:00,1
2019-01-30 09:16:00,1
2019-01-30 09:17:00,1
2019-01-30 09:19:00,1
2019-01-30 09:20:00,1
2019-01-30 09:22:00,1
2019-01-30 09:24:00,1
2019-01-30 09:25:00,1
2019-01-30 09:27:00,1
2019-01-30 09:28:00,1
2019-01-30 09:30:00,1
2019-01-30 09:31:00,1
2019-01-30 09:33:00,1
2019-01-30 09:34:00,1
2019-01-30 09:36:00,1
2019-01-30 09:38:00,1
2019-01-30 09:39:00,1
2019-01-30 09:41:00,1
2019-01-30 09:42:00,1
2019-01-30 09:44:00,1
2019-01-30 09:46:00,1
2019-01-30 09:47:00,1
2019-01-30 09:49:00,1
2019-01-30 09:50:00,1
2019-01-30 09:52:00,1
2019-01-30 09:54:00,1
2019-01-30 09:56:00,1
2019-01-30 09:57:00,1
2019-01-30 09:58:00,1
2019-01-30 10:00:00,1
2019-01-30 10:01:00,1
2019-01-30 10:02:00,1
2019-01-30 10:04:00,1
2019-01-30 10:05:00,1
2019-01-30 10:06:00,1
2019-01-30 10:08:00,1
2019-01-30 10:10:00,1
2019-01-30 10:11:00,1
2019-01-30 10:13:00,1
2019-01-30 10:14:00,1
2019-01-30 10:16:00,1
2019-01-30 10:17:00,1
2019-01-30 10:19:00,1
2019-01-30 10:20:00,1
2019-01-30 10:22:00,1
2019-01-30 10:23:00,1
2019-01-30 10:25:00,1
2019-01-30 10:26:00,1
2019-01-30 10:28:00,1
2019-01-30 10:29:00,1
2019-01-30 10:31:00,1
2019-01-30 10:32:00,1
2019-01-30 10:35:00,1
2019-01-30 10:37:00,1
