180,SELECT dr8objid FROM PhotoObjDR7 WHERE dr7objid = #
2019-01-30 10:04:00,2
2019-01-30 10:11:00,2
2019-01-30 10:12:00,4
2019-01-30 10:13:00,1
2019-01-30 10:20:00,89
2019-01-30 10:21:00,82
