13,"SELECT TOP # p.objId,p.ra,p.dec,p.petror9#_r, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, s.z as z_spec, s.zErr   FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # and #.*s.z># and #.*s.z<#"
2019-02-09 14:52:00,1
2019-02-09 14:59:00,2
2019-02-09 15:07:00,1
2019-02-09 15:26:00,2
2019-02-09 15:35:00,1
2019-02-09 15:53:00,1
2019-02-09 15:55:00,1
2019-02-09 17:41:00,1
2019-02-09 17:43:00,1
2019-02-09 18:05:00,1
2019-02-09 18:08:00,1
