26,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),p.z,p.specobjid,p.specClass FROM SpecPhotoAll as p WHERE p.ra<# and p.ra># and p.dec># and p.dec<# and (p.specClass=# or p.specClass=#) order by p.modelmag_r"
2019-02-09 03:25:00,3
2019-02-09 03:26:00,1
2019-02-09 03:28:00,2
2019-02-09 03:29:00,2
2019-02-09 03:31:00,1
2019-02-09 03:33:00,1
2019-02-09 03:34:00,1
2019-02-09 03:35:00,1
2019-02-09 16:45:00,2
2019-02-09 17:20:00,3
2019-02-09 17:28:00,4
2019-02-09 17:32:00,2
2019-02-09 18:47:00,3
