39,"SELECT TOP # dbo.fIAUFromEq(p.ra,p.dec),p.ra,p.dec,p.modelmag_g,p.modelmag_r,p.modelmag_i FROM Star as p WHERE p.modelmag_r># and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-02-09 03:25:00,5
2019-02-09 03:26:00,1
2019-02-09 03:28:00,2
2019-02-09 03:29:00,2
2019-02-09 03:31:00,1
2019-02-09 03:32:00,2
2019-02-09 03:34:00,3
2019-02-09 16:45:00,2
2019-02-09 16:46:00,1
2019-02-09 16:47:00,4
2019-02-09 17:20:00,5
2019-02-09 17:28:00,4
2019-02-09 17:32:00,4
2019-02-09 18:47:00,3
