16,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-02-09 06:17:00,1
2019-02-09 06:21:00,1
2019-02-09 07:14:00,1
2019-02-09 07:17:00,1
2019-02-09 13:52:00,1
2019-02-09 13:58:00,1
2019-02-09 18:44:00,1
2019-02-09 18:52:00,1
2019-02-09 18:56:00,1
2019-02-09 19:11:00,1
2019-02-09 19:13:00,1
2019-02-09 19:14:00,1
2019-02-09 19:15:00,1
2019-02-09 19:18:00,1
2019-02-09 19:42:00,1
2019-02-09 19:46:00,1
