121,SELECT z FROM SpecPhotoAll Where class = &&& and petroMagErr_g < # and petroMag_g between # and # and petroMagErr_r < # and petroMag_r between # and # and petroMagErr_i < # and petroMag_i between # and # and petroMagErr_z < # and petroMag_z between # and # and z>#
2019-01-21 10:16:00,2
2019-01-21 10:18:00,1
2019-01-21 11:20:00,2
2019-01-21 11:21:00,1
2019-01-21 11:22:00,1
2019-01-21 11:32:00,1
2019-01-21 11:33:00,1
2019-01-21 11:36:00,1
2019-01-21 11:45:00,1
2019-01-21 11:47:00,2
2019-01-21 12:31:00,2
2019-01-21 12:32:00,1
2019-01-21 12:36:00,2
2019-01-21 12:37:00,1
2019-01-21 12:40:00,2
2019-01-21 12:41:00,2
2019-01-21 12:42:00,2
2019-01-21 12:54:00,1
2019-01-21 12:55:00,2
2019-01-21 12:56:00,2
2019-01-21 12:59:00,1
2019-01-21 13:00:00,1
2019-01-21 13:01:00,3
2019-01-21 13:04:00,2
2019-01-21 13:05:00,3
2019-01-21 13:06:00,2
2019-01-21 13:08:00,2
2019-01-21 13:09:00,2
2019-01-21 13:11:00,2
2019-01-21 13:12:00,1
2019-01-21 13:15:00,3
2019-01-21 13:16:00,1
2019-01-21 13:22:00,2
2019-01-21 13:24:00,3
2019-01-21 13:25:00,2
2019-01-21 13:27:00,3
2019-01-21 13:28:00,2
2019-01-21 13:30:00,1
2019-01-21 13:31:00,5
2019-01-21 13:34:00,3
2019-01-21 13:35:00,2
2019-01-21 13:37:00,1
2019-01-21 13:38:00,3
2019-01-21 13:42:00,2
2019-01-21 13:43:00,3
2019-01-21 13:46:00,1
2019-01-21 13:47:00,2
2019-01-21 13:49:00,1
2019-01-21 13:54:00,1
2019-01-21 13:55:00,2
2019-01-21 14:23:00,1
2019-01-21 14:24:00,1
2019-01-21 14:26:00,2
2019-01-21 14:27:00,3
2019-01-21 14:30:00,4
2019-01-21 14:31:00,2
2019-01-21 14:38:00,3
2019-01-21 14:42:00,2
2019-01-21 14:44:00,2
2019-01-21 14:45:00,1
2019-01-21 14:46:00,1
2019-01-21 14:47:00,2
2019-01-21 14:52:00,1
2019-01-21 14:53:00,2
2019-01-21 14:56:00,2
