17,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-01-21 01:51:00,1
2019-01-21 07:38:00,1
2019-01-21 09:19:00,1
2019-01-21 09:22:00,2
2019-01-21 09:33:00,1
2019-01-21 09:34:00,2
2019-01-21 09:35:00,1
2019-01-21 09:36:00,1
2019-01-21 09:43:00,5
2019-01-21 09:49:00,2
