2461,"select c.*     , n1.x as x1,n1.y as y1     , n2.x as x2,n2.y as y2     from cracks_S0# c     ,    nodes_S0# n1     ,    nodes_S0# n2     where c.snapnum=#     and n1.snapnum=c.snapnum     and n1.nodeid=c.node1     and n2.snapnum=c.snapnum     and n2.nodeid=c.node2"
2019-01-21 14:24:00,5
2019-01-21 14:25:00,15
2019-01-21 14:43:00,1
2019-01-21 14:47:00,20
2019-01-21 14:52:00,20
2019-01-21 14:56:00,20
2019-01-21 14:57:00,47
2019-01-21 14:58:00,48
2019-01-21 14:59:00,49
2019-01-21 15:00:00,44
2019-01-21 15:01:00,51
2019-01-21 15:02:00,82
2019-01-21 15:03:00,53
2019-01-21 15:04:00,43
2019-01-21 15:05:00,44
2019-01-21 15:06:00,39
2019-01-21 15:07:00,17
2019-01-21 15:08:00,15
2019-01-21 15:09:00,12
2019-01-21 15:10:00,11
2019-01-21 15:11:00,9
2019-01-21 15:12:00,9
2019-01-21 15:13:00,7
2019-01-21 17:05:00,2
2019-01-21 17:06:00,43
2019-01-21 17:07:00,58
2019-01-21 17:08:00,70
2019-01-21 17:09:00,66
2019-01-21 17:10:00,60
2019-01-21 17:11:00,54
2019-01-21 17:12:00,59
2019-01-21 17:13:00,55
2019-01-21 17:14:00,55
2019-01-21 17:15:00,59
2019-01-21 17:16:00,54
2019-01-21 17:17:00,58
2019-01-21 17:18:00,61
2019-01-21 17:19:00,59
2019-01-21 17:20:00,57
2019-01-21 17:21:00,63
2019-01-21 17:22:00,63
2019-01-21 17:23:00,64
2019-01-21 17:24:00,67
2019-01-21 17:25:00,60
2019-01-21 17:26:00,61
2019-01-21 17:27:00,62
2019-01-21 17:28:00,62
2019-01-21 17:29:00,63
2019-01-21 17:30:00,44
2019-01-21 17:31:00,37
2019-01-21 17:32:00,32
2019-01-21 17:33:00,26
2019-01-21 17:34:00,24
2019-01-21 17:35:00,25
2019-01-21 17:36:00,16
2019-01-21 17:37:00,16
2019-01-21 17:38:00,15
2019-01-21 17:39:00,14
2019-01-21 17:40:00,9
2019-01-21 17:41:00,9
2019-01-21 17:42:00,9
2019-01-21 17:43:00,9
2019-01-21 17:44:00,8
2019-01-21 17:45:00,6
2019-01-21 17:46:00,7
2019-01-21 17:47:00,8
2019-01-21 17:48:00,6
2019-01-21 17:49:00,5
2019-01-21 17:50:00,4
2019-01-21 17:51:00,5
2019-01-21 17:52:00,3
2019-01-21 17:53:00,6
2019-01-21 17:54:00,3
2019-01-21 17:55:00,6
2019-01-21 17:56:00,2
2019-01-21 17:57:00,2
2019-01-21 17:58:00,2
2019-01-21 17:59:00,4
2019-01-21 18:00:00,1
2019-01-21 18:01:00,1
2019-01-21 18:02:00,1
