36,"select p.ra, p.dec, p.g, p.Err_g from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_g <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-01-21 10:31:00,5
2019-01-21 10:33:00,1
2019-01-21 10:35:00,1
2019-01-21 10:40:00,1
2019-01-21 10:43:00,1
2019-01-21 10:53:00,5
2019-01-21 11:11:00,5
2019-01-21 11:28:00,4
2019-01-21 21:31:00,1
2019-01-21 21:33:00,1
2019-01-21 21:34:00,1
2019-01-21 21:38:00,1
2019-01-21 21:39:00,1
2019-01-21 21:41:00,1
2019-01-21 21:43:00,1
2019-01-21 21:46:00,1
2019-01-21 21:47:00,1
2019-01-21 21:50:00,1
2019-01-21 21:51:00,1
2019-01-21 21:52:00,1
2019-01-21 21:55:00,1
