593,"select p.run,p.rerun,p.camcol,p.field, g.colc, g.rowc, g.petroR9#_r from dbo.fGetNearestObjEq(#,#,#) p, PhotoObjAll g where p.run=g.run and p.rerun=g.rerun and p.camcol=g.camcol and p.field=g.field and p.objid=g.objid and p.rerun>#"
2019-01-21 03:01:00,3
2019-01-21 03:02:00,5
2019-01-21 03:03:00,3
2019-01-21 03:04:00,3
2019-01-21 03:05:00,3
2019-01-21 03:07:00,3
2019-01-21 03:08:00,2
2019-01-21 03:09:00,3
2019-01-21 03:10:00,4
2019-01-21 03:11:00,4
2019-01-21 03:12:00,3
2019-01-21 03:13:00,3
2019-01-21 03:14:00,5
2019-01-21 03:15:00,3
2019-01-21 03:16:00,1
2019-01-21 03:17:00,3
2019-01-21 03:18:00,1
2019-01-21 03:19:00,2
2019-01-21 03:20:00,1
2019-01-21 03:21:00,2
2019-01-21 03:22:00,2
2019-01-21 03:23:00,2
2019-01-21 03:24:00,2
2019-01-21 03:25:00,1
2019-01-21 03:26:00,4
2019-01-21 03:27:00,1
2019-01-21 03:28:00,1
2019-01-21 03:29:00,1
2019-01-21 03:30:00,3
2019-01-21 03:31:00,1
2019-01-21 03:32:00,2
2019-01-21 03:34:00,2
2019-01-21 03:35:00,2
2019-01-21 03:36:00,1
2019-01-21 03:38:00,1
2019-01-21 03:39:00,1
2019-01-21 03:40:00,2
2019-01-21 03:41:00,3
2019-01-21 03:42:00,2
2019-01-21 03:43:00,2
2019-01-21 03:44:00,2
2019-01-21 03:45:00,2
2019-01-21 03:46:00,2
2019-01-21 03:48:00,1
2019-01-21 03:49:00,1
2019-01-21 03:52:00,2
2019-01-21 03:53:00,1
2019-01-21 03:54:00,2
2019-01-21 03:55:00,2
2019-01-21 03:56:00,3
2019-01-21 03:57:00,2
2019-01-21 03:58:00,3
2019-01-21 03:59:00,3
2019-01-21 04:00:00,1
2019-01-21 04:01:00,3
2019-01-21 04:02:00,2
2019-01-21 04:03:00,1
2019-01-21 04:04:00,2
2019-01-21 04:05:00,3
2019-01-21 04:06:00,3
2019-01-21 04:07:00,2
2019-01-21 04:08:00,2
2019-01-21 04:09:00,2
2019-01-21 04:10:00,4
2019-01-21 04:11:00,2
2019-01-21 04:12:00,4
2019-01-21 04:13:00,3
2019-01-21 04:14:00,2
2019-01-21 04:15:00,2
2019-01-21 04:16:00,2
2019-01-21 04:17:00,2
2019-01-21 04:18:00,3
2019-01-21 04:19:00,1
2019-01-21 04:20:00,3
2019-01-21 04:21:00,3
2019-01-21 04:22:00,1
2019-01-21 04:23:00,4
2019-01-21 04:25:00,5
2019-01-21 04:27:00,3
2019-01-21 04:28:00,1
2019-01-21 04:29:00,3
2019-01-21 04:30:00,4
2019-01-21 04:31:00,2
2019-01-21 04:32:00,3
2019-01-21 04:33:00,1
2019-01-21 04:34:00,1
2019-01-21 04:35:00,3
2019-01-21 04:36:00,4
2019-01-21 04:37:00,3
2019-01-21 04:38:00,4
2019-01-21 04:39:00,3
2019-01-21 04:40:00,2
2019-01-21 04:41:00,3
2019-01-21 04:42:00,1
2019-01-21 04:43:00,3
2019-01-21 04:44:00,4
2019-01-21 04:45:00,2
2019-01-21 04:46:00,3
2019-01-21 04:47:00,5
2019-01-21 04:48:00,4
2019-01-21 04:49:00,2
2019-01-21 04:50:00,3
2019-01-21 04:52:00,2
2019-01-21 04:53:00,3
2019-01-21 04:54:00,1
2019-01-21 04:55:00,3
2019-01-21 04:56:00,3
2019-01-21 04:57:00,4
2019-01-21 04:58:00,2
2019-01-21 04:59:00,2
2019-01-21 05:00:00,1
2019-01-21 05:01:00,3
2019-01-21 05:02:00,3
2019-01-21 05:03:00,1
2019-01-21 05:04:00,2
2019-01-21 05:05:00,3
2019-01-21 05:06:00,3
2019-01-21 05:07:00,3
2019-01-21 05:08:00,5
2019-01-21 05:09:00,3
2019-01-21 05:10:00,4
2019-01-21 05:11:00,1
2019-01-21 05:12:00,4
2019-01-21 07:18:00,1
2019-01-21 07:22:00,1
2019-01-21 07:28:00,1
2019-01-21 07:29:00,1
2019-01-21 07:30:00,2
2019-01-21 07:31:00,5
2019-01-21 07:32:00,2
2019-01-21 07:33:00,1
2019-01-21 07:34:00,2
2019-01-21 07:35:00,5
2019-01-21 07:36:00,4
2019-01-21 07:37:00,3
2019-01-21 07:38:00,6
2019-01-21 07:39:00,2
2019-01-21 07:40:00,6
2019-01-21 07:41:00,6
2019-01-21 07:42:00,4
2019-01-21 07:43:00,4
2019-01-21 07:44:00,2
2019-01-21 07:45:00,5
2019-01-21 07:46:00,4
2019-01-21 07:47:00,5
2019-01-21 07:48:00,4
2019-01-21 07:49:00,3
2019-01-21 07:50:00,6
2019-01-21 07:51:00,5
2019-01-21 07:52:00,6
2019-01-21 07:53:00,5
2019-01-21 07:54:00,5
2019-01-21 07:55:00,3
2019-01-21 07:56:00,3
2019-01-21 07:57:00,6
2019-01-21 07:58:00,1
2019-01-21 07:59:00,5
2019-01-21 08:00:00,5
2019-01-21 08:01:00,3
2019-01-21 08:02:00,5
2019-01-21 08:03:00,4
2019-01-21 08:04:00,4
2019-01-21 08:05:00,3
2019-01-21 08:06:00,3
2019-01-21 08:07:00,5
2019-01-21 08:08:00,5
2019-01-21 08:09:00,4
2019-01-21 08:10:00,3
2019-01-21 08:11:00,5
2019-01-21 08:12:00,7
2019-01-21 08:13:00,3
2019-01-21 08:14:00,1
2019-01-21 08:15:00,1
2019-01-21 08:18:00,1
2019-01-21 08:20:00,1
2019-01-21 08:22:00,1
2019-01-21 08:23:00,1
2019-01-21 08:25:00,2
2019-01-21 08:26:00,3
2019-01-21 08:27:00,2
2019-01-21 08:28:00,1
2019-01-21 08:29:00,3
2019-01-21 08:30:00,6
2019-01-21 08:31:00,6
2019-01-21 08:32:00,3
2019-01-21 08:33:00,5
2019-01-21 08:34:00,3
2019-01-21 08:35:00,7
2019-01-21 08:36:00,4
2019-01-21 08:37:00,3
2019-01-21 08:38:00,3
2019-01-21 08:39:00,8
2019-01-21 08:40:00,8
2019-01-21 08:41:00,5
2019-01-21 08:42:00,4
2019-01-21 08:43:00,5
2019-01-21 08:44:00,4
2019-01-21 08:45:00,4
2019-01-21 08:46:00,6
2019-01-21 08:47:00,5
