296,"SELECT TOP # pobj.ra, pobj.dec, pz.z, pobj.dered_u, pobj.dered_g, pobj.dered_r, pobj.dered_i, pobj.dered_z, pobj.type, pobj.objID, pz.objID from PhotoObjAll as pobj JOIN Photoz as pz ON pz.objID = pobj.objID WHERE pobj.ra BETWEEN # AND # AND pobj.type = # AND pobj.dered_u > # AND pobj.dered_u < #"
2019-01-21 20:50:00,17
2019-01-21 21:08:00,7
2019-01-21 21:13:00,3
2019-01-21 21:14:00,7
2019-01-21 21:15:00,1
2019-01-21 21:17:00,1
2019-01-21 21:19:00,5
2019-01-21 21:20:00,1
2019-01-21 21:23:00,5
2019-01-21 21:25:00,1
2019-01-21 21:27:00,3
2019-01-21 21:28:00,1
2019-01-21 21:31:00,4
2019-01-21 21:33:00,1
2019-01-21 21:34:00,4
2019-01-21 21:37:00,1
2019-01-21 21:38:00,3
2019-01-21 21:40:00,1
2019-01-21 21:41:00,1
2019-01-21 21:45:00,9
2019-01-21 21:46:00,4
2019-01-21 21:47:00,1
2019-01-21 21:48:00,1
2019-01-21 21:50:00,14
2019-01-21 21:53:00,4
2019-01-21 21:55:00,1
2019-01-21 21:56:00,1
2019-01-21 21:57:00,2
2019-01-21 21:58:00,1
2019-01-21 22:00:00,1
2019-01-21 22:01:00,3
2019-01-21 22:02:00,1
2019-01-21 22:03:00,1
2019-01-21 22:14:00,14
2019-01-21 22:15:00,3
2019-01-21 22:19:00,5
2019-01-21 22:24:00,2
2019-01-21 22:25:00,7
2019-01-21 22:28:00,1
2019-01-21 22:29:00,14
2019-01-21 22:41:00,19
2019-01-21 22:42:00,3
2019-01-21 22:44:00,1
2019-01-21 22:48:00,17
2019-01-21 22:50:00,4
2019-01-21 22:51:00,3
2019-01-21 22:55:00,1
2019-01-21 22:56:00,2
2019-01-21 22:57:00,5
2019-01-21 22:58:00,1
2019-01-21 22:59:00,1
2019-01-21 23:00:00,5
2019-01-21 23:01:00,2
2019-01-21 23:02:00,1
2019-01-21 23:03:00,1
2019-01-21 23:04:00,1
2019-01-21 23:05:00,4
2019-01-21 23:06:00,2
2019-01-21 23:07:00,1
2019-01-21 23:08:00,2
2019-01-21 23:09:00,2
2019-01-21 23:10:00,4
2019-01-21 23:11:00,1
2019-01-21 23:12:00,6
2019-01-21 23:17:00,10
2019-01-21 23:22:00,1
2019-01-21 23:23:00,1
2019-01-21 23:24:00,2
2019-01-21 23:27:00,1
2019-01-21 23:28:00,1
2019-01-21 23:29:00,4
2019-01-21 23:33:00,4
2019-01-21 23:37:00,2
2019-01-21 23:39:00,6
2019-01-21 23:43:00,2
2019-01-21 23:44:00,1
2019-01-21 23:46:00,2
2019-01-21 23:48:00,1
2019-01-21 23:50:00,6
2019-01-21 23:55:00,2
2019-01-21 23:57:00,1
2019-01-21 23:58:00,1
2019-01-21 23:59:00,2
