35,"select p.ra, p.dec, p.r, p.Err_r from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_r <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-01-21 10:32:00,1
2019-01-21 10:33:00,2
2019-01-21 10:34:00,2
2019-01-21 10:44:00,1
2019-01-21 10:54:00,3
2019-01-21 10:55:00,2
2019-01-21 11:12:00,3
2019-01-21 11:13:00,1
2019-01-21 11:29:00,2
2019-01-21 11:30:00,3
2019-01-21 22:04:00,1
2019-01-21 22:05:00,1
2019-01-21 22:06:00,1
2019-01-21 22:08:00,1
2019-01-21 22:09:00,1
2019-01-21 22:12:00,1
2019-01-21 22:13:00,1
2019-01-21 22:14:00,1
2019-01-21 22:18:00,2
2019-01-21 22:21:00,1
2019-01-21 22:22:00,1
2019-01-21 22:23:00,1
2019-01-21 22:24:00,1
2019-01-21 22:27:00,1
