595,"SELECT TOP # ra, dec, type from PhotoObjAll WHERE ra BETWEEN # AND # AND type = #"
2019-01-21 14:22:00,12
2019-01-21 15:36:00,149
2019-01-21 15:37:00,117
2019-01-21 15:39:00,14
2019-01-21 15:40:00,25
2019-01-21 15:41:00,18
2019-01-21 15:42:00,22
2019-01-21 15:43:00,25
2019-01-21 15:44:00,213
